tags,word,phonetics,meanings,examples,content
基础动词,understand,[ˌʌndərˈstænd],理解,I understand this math problem.,
基础动词,discover,[dɪˈskʌvər],发现,Columbus discovered America.,
基础动词,prepare,[prɪˈper],准备,We prepare for exams.,
基础动词,celebrate,[ˈselɪbreɪt],庆祝,We celebrate birthdays with cake.,
基础动词,invite,[ɪnˈvaɪt],邀请,She invites me to her party.,
基础动词,explain,[ɪkˈspleɪn],解释,The teacher explains the lesson.,
高频名词,environment,[ɪnˈvaɪrənmənt],环境,We must protect the environment.,
高频名词,century,[ˈsentʃəri],世纪,We live in the 21st century.,
高频名词,experiment,[ɪkˈsperɪmənt],实验,We did a science experiment.,
高频名词,direction,[dəˈrekʃn],方向,Read the directions carefully.，
高频名词,suggestion,[səɡˈdʒestʃən],建议,Thank you for your suggestion.，
高频名词,population,[ˌpɑːpjuˈleɪʃn],人口,China has a large population.，
形容词,ancient,[ˈeɪnʃənt],古代的,We saw ancient pyramids.，
形容词,modern,[ˈmɑːdərn],现代的,This is a modern city.，
形容词,responsible,[rɪˈspɑːnsəbl],负责的,Be responsible for your homework.，
形容词,confident,[ˈkɑːnfɪdənt],自信的,She is confident in speaking English.，
形容词,dangerous,[ˈdeɪndʒərəs],危险的,Fire is dangerous.，
学科词汇,fraction,[ˈfrækʃn],分数,1/2 is a fraction.，
学科词汇,planet,[ˈplænɪt],行星,Earth is a planet.，
学科词汇,energy,[ˈenərdʒi],能量,The sun gives us en，ergy.，
学科词汇,experiment,[ɪkˈsperɪmənt],实验,Do a chemistry experiment.，
学科词汇,volume,[ˈvɑːljuːm],音量/体积,Turn down the volume.，
时间月份,January,[ˈdʒænjueri],一月,January is the first month.，
时间月份,February,[ˈfebrueri],二月,February has 28 days.，
时间月份,November,[noʊˈvembər],十一月,Thanksgiving is in November.，
时间月份,December,[dɪˈsembər],十二月,Christmas is in December.，
季节天气,typhoon,[taɪˈfuːn],台风,The typhoon is coming.，
季节天气,temperature,[ˈtemprətʃər],温度,Check the temperature today.，
季节天气,umbrella,[ʌmˈbrelə],雨伞,Take an umbrella when raining.，
短语搭配,have to,[hæv tuː],必须,I have to finish homework.，
短语搭配,be good at,[biː ɡʊd æt],擅长,She is good at singing.，
短语搭配,take care of,[teɪk ker əv],照顾,Take care of your pet.，
短语搭配,make progress,[meɪk ˈprɑːɡres],取得进步,You made great progress!，